stem_id,kms_Alphabet,kms_page,kms_entry_no,stem_form,stem_homonymID,stem_DE,stem_EN,stem_IDN,stem_formVarian,stem_variant_DE,stem_variant_EN,stem_variant_IDN,stem_dialectVariant,stem_etymological_form,stem_etym_form_German,stem_etymological_language_donor,stem_loanword_form,stem_loanword_language_donor,stem_source_form,stem_source_form_homonymID,stem_remark_DE,stem_remark_EN,stem_remark_IDN,stem_crossref_DE,stem_crossref_EN,stem_crossref_IDN
11_1685428252,a,1,1,a-,1,leitet Objektssätze ein,introduces object sentences,memperkenalkan kalimat objek,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,§ 21c,§ 21c,§ 21c
11_1685428330,a,1,2,a-,2,"wenn, falls; denn, weil","if , if ; for , because","jika , jika ; untuk , karena",ápe a-,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,"§§ 15e, 24c","§§ 15e , 24c","§§ 15e, 24c"
11_1685428509,a,1,3,[ʔ]a-,3,"Präfix, das Wortstämme erweitert",Prefix that expands word stems,Awalan yang memperluas batang kata,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,"§§ 39b, 41b und g","§§ 39b , 41b and g","§§ 39b, 41b dan g"
11_1685429142,a,1,4,-[C]a,NA,kennzeichnet Zukunft bei Verben,indicates future in verbs,menunjukkan masa depan dalam kata kerja,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,"§§ 29b, 51a","§§ 29b , 51a","§§ 29b , 51a"
11_1685429613,a,1,5,aa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685429642,a,1,6,ʔaa,1,Halloǃ Heǃ (Anruf),Helloǃ Heǃ (call),Haloǃ Heiǃ (panggilan),NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685430453,a,1,7,ʔaa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685430716,a,2,1,aʔa,1,gehǃ,goǃ,pergiǃ,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685430762,a,2,2,éaʔa,2,jene(r/s) - korrelat zur 3.P,those - correlative to the 3rd Person Singular or Plural,mereka - berhubungan dengan Orang Ketiga Tunggal atau Jamak,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685430833,a,2,3,-aʔa,1,kennzeichnet die komplexe Variation bei Verben,marks the complex variation in verbs,menandai variasi kompleks dalam kata kerja,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,"§§ 15k, 37, 55","§§ 15k , 37 , 55","§§ 15k , 37 , 55"
11_1685430954,a,2,4,-aʔa,2,"Suffix an Verbalstämmen, das die Aufforderung an die 2.Pl kennzeichnet",Suffix on verbal stems that marks the request to the 2nd Person Plural,Akhiran/sufiks pada kata kerja yang menandai permintaan kepada orang kedua jamak,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,§ 15,§ 15,§ 15
11_1685431014,a,2,5,ʔaʔa,1,NA,NA,NA,ʔaʔo ; ʔoʔo,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685431230,a,2,6,ʔaʔa,2,NA,NA,NA,NA,NA,NA,NA,NA,kaka,NA,10,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685431314,a,2,7,ʔaʔa,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685431384,a,2,8,ʔaʔakəa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA
11_1685431703,a,2,9,ʔãʔãkõ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,ʔãkõ,NA,NA,NA,NA,NA,NA,NA
11_1685431789,a,2,10,ʔaʔanõ,NA,"einige(s), soviele","some , so many","beberapa, begitu banyak",NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,ʔanõ,NA,NA,NA,NA,§ 32c ; 132z37,§ 32c ; 132z37,§ 32c ; 132z37
